numero,nome,area,n_fotos,pontos,PU,PC,CP,X_erro,Y_erro,Z_erro 
1,JARDIM_PANORAMA_E_VILA_REAL,103.4027,2056,24,100,50,50,2.97433,3.5034,7.74971
1,JARDIM_PANORAMA_E_VILA_REAL,103.4027,2056,24,100,70,30,2.96006,2.5745,4.66224
1,JARDIM_PANORAMA_E_VILA_REAL,103.4027,2056,16,70,50,50,3.82489,4.45983,6.17054
1,JARDIM_PANORAMA_E_VILA_REAL,103.4027,2056,16,70,70,30,4.19402,2.81457,6.06035
1,JARDIM_PANORAMA_E_VILA_REAL,103.4027,2056,12,50,50,50,4.3892,3.4601,12.4596
1,JARDIM_PANORAMA_E_VILA_REAL,103.4027,2056,12,50,70,30,3.79566,3.50355,6.27219
1,JARDIM_PANORAMA_E_VILA_REAL,103.4027,2056,24,100,0,100,154.616,143.349,2298.48
2,Nova_Era_e_L_Dona_Chiquinha,77.948,1352,20,100,50,50,3.86028,3.49271,7.52483
2,Nova_Era_e_L_Dona_Chiquinha,77.948,1352,20,100,70,30,3.66022,2.97599,8.65271
2,Nova_Era_e_L_Dona_Chiquinha,77.948,1352,14,70,50,50,4.03974,3.26482,8.40479
2,Nova_Era_e_L_Dona_Chiquinha,77.948,1352,14,70,70,30,4.62863,3.06184,6.92561
2,Nova_Era_e_L_Dona_Chiquinha,77.948,1352,10,50,50,50,5.32553,4.8326,13.464
2,Nova_Era_e_L_Dona_Chiquinha,77.948,1352,10,50,70,30,2.45172,4.5978,9.67762
2,Nova_Era_e_L_Dona_Chiquinha,77.948,1352,20,100,0,100,238.588,132.579,1440.27
3,J._Primavera_e_L._12_de_Agosto,29.6455,676,26,100,50,50,3.11304,3.83216,5.14391
3,J._Primavera_e_L._12_de_Agosto,29.6455,676,26,100,70,30,2.66205,4.60997,4.54037
3,J._Primavera_e_L._12_de_Agosto,29.6455,676,18,70,50,50,3.26577,4.14053,5.17121
3,J._Primavera_e_L._12_de_Agosto,29.6455,676,18,70,70,30,3.07405,5.16206,5.14651
3,J._Primavera_e_L._12_de_Agosto,29.6455,676,12,50,50,50,3.40831,4.94227,4.19139
3,J._Primavera_e_L._12_de_Agosto,29.6455,676,12,50,70,30,4.69947,1.43678,3.44656
3,J._Primavera_e_L._12_de_Agosto,29.6455,676,26,100,0,100,14.8222,35.0368,123.063
4,Sao_Jose,35.8144,655,24,100,50,50,2.29428,1.83778,9.21099
4,Sao_Jose,35.8144,655,24,100,70,30,2.166,1.5586,4.76619
4,Sao_Jose,35.8144,655,16,70,50,50,2.77044,1.95512,9.37937
4,Sao_Jose,35.8144,655,16,70,70,30,2.04736,2.18098,11.7321
4,Sao_Jose,35.8144,655,12,50,50,50,1.88045,2.53589,9.55305
4,Sao_Jose,35.8144,655,12,50,70,30,1.9437,2.94398,10.596
4,Sao_Jose,35.8144,655,24,100,0,100,134.774,300.953,1034.5
5,Sao_Miguel,53.6528,1486,24,100,50,50,2.69699,2.08439,2.56241
5,Sao_Miguel,53.6528,1486,24,100,70,30,2.32444,1.40968,2.45706
5,Sao_Miguel,53.6528,1486,16,70,50,50,4.05395,2.94739,9.2312
5,Sao_Miguel,53.6528,1486,16,70,70,30,3.25483,3.47102,2.86497
5,Sao_Miguel,53.6528,1486,12,50,50,50,3.81955,2.0686,9.6573
5,Sao_Miguel,53.6528,1486,12,50,70,30,3.02004,2.28047,2.43277
5,Sao_Miguel,53.6528,1486,24,100,0,100,95.1219,55.1244,1627.5
